20220408170839647330
time,paddleA_position,paddleB_position,ball_xposition,ball_yposition,ball_angle,ball_velocity,sync_count
0.004985332489013672,338,338,33,368,0,0,0
0.016986846923828125,338,338,33,368,0,0,0
0.03346586227416992,338,338,33,368,0,0,0
0.050451040267944336,338,338,33,368,0,0,0
0.06697773933410645,338,338,33,368,0,0,0
0.08316636085510254,338,338,33,368,0,0,0
0.10020709037780762,338,338,33,368,0,0,0
0.11758828163146973,338,338,33,368,0,0,0
0.1341104507446289,338,338,33,368,0,0,0
0.15049529075622559,338,338,33,368,0,0,0
0.16743826866149902,338,338,33,368,0,0,0
0.18388795852661133,338,338,33,368,0,0,0
0.20007586479187012,338,338,33,368,0,0,0
0.2175290584564209,338,338,33,368,0,0,0
0.23412322998046875,338,338,33,368,0,0,0
0.2510368824005127,338,338,33,368,0,0,0
0.26746225357055664,338,338,33,368,0,0,0
0.2839853763580322,338,338,33,368,0,0,0
0.2995133399963379,338,338,33,368,0,0,0
0.31615376472473145,338,338,33,368,0,0,0
0.3328225612640381,338,338,33,368,0,0,0
0.349545955657959,338,338,33,368,0,0,0
0.3664979934692383,338,338,33,368,0,0,0
0.3830704689025879,338,338,33,368,0,0,0
0.39960765838623047,338,338,33,368,0,0,0
0.41603970527648926,338,338,33,368,0,0,0
0.432952880859375,338,338,33,368,0,0,0
0.4495525360107422,338,338,33,368,0,0,0
0.4671595096588135,338,338,33,368,0,0,0
0.4831666946411133,338,338,33,368,0,0,0
0.49953627586364746,338,338,33,368,0,0,0
0.5174124240875244,338,338,33,368,0,0,0
0.5338919162750244,338,338,33,368,0,0,0
0.5504686832427979,338,338,33,368,0,0,0
0.5673103332519531,338,338,33,368,0,0,0
0.5838170051574707,338,338,33,368,0,0,0
0.6005058288574219,338,338,33,368,0,0,0
0.6175718307495117,338,338,33,368,0,0,0
0.6338920593261719,338,338,33,368,0,0,0
0.6505231857299805,338,338,33,368,0,0,0
0.6669833660125732,338,338,33,368,0,0,0
0.6834805011749268,338,338,33,368,0,0,0
0.6995558738708496,338,338,33,368,0,0,0
0.7161440849304199,338,338,33,368,0,0,0
0.7328183650970459,338,338,33,368,0,0,0
0.7495384216308594,338,338,33,368,0,0,0
0.7660348415374756,338,338,33,368,0,0,0
0.7829241752624512,338,338,33,368,0,0,0
0.7995290756225586,338,338,33,368,0,0,0
0.8171031475067139,338,338,33,368,0,0,0
0.8333241939544678,338,338,33,368,0,0,0
0.8494448661804199,338,338,33,368,0,0,0
0.8668327331542969,338,338,33,368,0,0,0
0.8833062648773193,338,338,33,368,0,0,0
0.9004900455474854,338,338,33,368,0,0,0
0.918177604675293,338,338,33,368,0,0,0
0.9340746402740479,338,338,33,368,0,0,0
0.9511814117431641,338,338,33,368,0,0,0
0.9678781032562256,338,338,33,368,0,0,0
0.9838008880615234,338,338,33,368,0,0,0
1.0021605491638184,338,338,33,368,0,0,0
1.0191476345062256,338,338,33,368,0,0,0
1.0351030826568604,338,338,33,368,0,0,0
1.0510284900665283,338,338,33,368,0,0,0
1.0669851303100586,338,338,33,368,0,0,0
1.0846333503723145,338,338,33,368,0,0,0
1.1001245975494385,338,338,33,368,0,0,0
1.1155197620391846,338,338,33,368,0,0,0
1.1329617500305176,338,338,33,368,0,0,0
1.1493749618530273,338,338,33,368,0,0,0
1.167078971862793,338,338,33,368,0,0,0
1.1836323738098145,338,338,33,368,0,0,0
1.2001352310180664,338,338,33,368,0,0,0
1.21610689163208,338,338,33,368,0,0,0
1.2333996295928955,338,338,33,368,0,0,0
1.2495532035827637,338,338,33,368,0,0,0
1.2661311626434326,338,338,33,368,0,0,0
1.2828011512756348,338,338,33,368,0,0,0
1.2995483875274658,338,338,33,368,0,0,0
